Protein	Des
A0A0H3M3G7	Genome Annotation
A0A0H3M3I2	Genome Annotation
A0A0H3M3L4	Genome Annotation
A0A0H3M3M4	Genome Annotation
A0A0H3M3M8	Genome Annotation
A0A0H3M3P3	Genome Annotation
A0A0H3M3P5	Genome Annotation
A0A0H3M3R1	Genome Annotation
A0A0H3M3R7	Genome Annotation
A0A0H3M3S8	Genome Annotation
A0A0H3M3V5	Genome Annotation
A0A0H3M429	Genome Annotation
A0A0H3M454	Genome Annotation
A0A0H3M469	Genome Annotation
A0A0H3M480	Genome Annotation
A0A0H3M499	Genome Annotation
A0A0H3M4A3	Genome Annotation
A0A0H3M4A6	Genome Annotation
A0A0H3M4A7	Genome Annotation
A0A0H3M4G7	Genome Annotation
A0A0H3M4G9	Genome Annotation
A0A0H3M4H4	Genome Annotation
A0A0H3M4H7	Genome Annotation
A0A0H3M4J7	Genome Annotation
A0A0H3M4J8	Genome Annotation
A0A0H3M4M1	Genome Annotation
A0A0H3M4M5	Genome Annotation
A0A0H3M4P2	Genome Annotation
A0A0H3M4T3	Genome Annotation
A0A0H3M4U0	Genome Annotation
A0A0H3M4U3	Genome Annotation
A0A0H3M4X4	Genome Annotation
A0A0H3M4Y2	Genome Annotation
A0A0H3M4Z4	Genome Annotation
A0A0H3M520	Genome Annotation
A0A0H3M565	Genome Annotation
A0A0H3M566	Genome Annotation
A0A0H3M589	Genome Annotation
A0A0H3M591	Genome Annotation
A0A0H3M597	Genome Annotation
A0A0H3M5C2	Genome Annotation
A0A0H3M5G6	Genome Annotation
A0A0H3M5I0	Genome Annotation
A0A0H3M5I9	Genome Annotation
A0A0H3M5J1	Genome Annotation
A0A0H3M5J3	Genome Annotation
A0A0H3M5J6	Genome Annotation
A0A0H3M5K2	Genome Annotation
A0A0H3M5L8	Genome Annotation
A0A0H3M5M1	Genome Annotation
A0A0H3M5N5	Genome Annotation
A0A0H3M5N6	Genome Annotation
A0A0H3M5P8	Genome Annotation
A0A0H3M5S4	Genome Annotation
A0A0H3M5S8	Genome Annotation
A0A0H3M5T7	Genome Annotation
