Protein	Accession	Accession.id
Q8PQ68	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PQ72	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PQN1	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PQN2	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PQQ4	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PR77	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PRE0	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PS33	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PT38	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PTF7	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PTP5	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PTU7	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PU20	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PUB6	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PUQ8	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PUQ9	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PUV5	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PV69	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PVK0	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PX75	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PXA9	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PXT3	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PXU9	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
